Player,ADP (31-)
Michael Jordan,1.41
LeBron James,1.90
Kevin Garnett,4.05
Larry Bird,4.15
Stephen Curry,4.54
Shaquille O'Neal,5.34
Hakeem Olajuwon,8.41
Magic Johnson,8.56
Jerry West,10.00
Kevin Durant,10.90
Kareem Abdul-Jabbar,11.49
Kobe Bryant,11.55
Shai Gilgeous-Alexander,11.67
Kawhi Leonard,12.90
Tim Duncan,13.24
Nikola Jokic,15.39
Dwyane Wade,16.15
David Robinson,17.03
Chris Paul,18.26
Steve Nash,19.10
Wilt Chamberlain,20.14
Bill Russell,21.00
Bill Walton,23.35
Tracy McGrady,23.36
Oscar Robertson,25.26
Anthony Davis,25.41
Giannis Antetokounmpo,25.44
Julius Erving,28.16
Luka Doncic,30.31
James Harden,31.66
Reggie Miller,31.83
Dirk Nowitzki,32.06
Grant Hill,32.80
Paul George,33.02
Victor Wembanyama,34.14
Scottie Pippen,34.64
Draymond Green,36.96
Manu Ginobili,37.09
Charles Barkley,38.07
Jayson Tatum,38.23
Joel Embiid,38.36
Karl Malone,38.59
Penny Hardaway,40.53
Ray Allen,41.14
Jimmy Butler,43.85
Walt Frazier,44.39
Mark Price,44.56
Bob McAdoo,45.64
Paul Pierce,49.15
Damian Lillard,50.03
Chauncey Billups,50.82
Clyde Drexler,52.08
John Havlicek,52.74
Chris Mullin,53.95
Dwight Howard,56.65
Klay Thompson,57.12
Vince Carter,57.49
Eddie Jones,58.58
Sidney Moncrief,59.40
Terry Porter,62.09
Willis Reed,62.69
Shawn Kemp,62.90
Rashard Lewis,64.66
Patrick Ewing,66.35
Brandon Roy,66.52
Tyrese Haliburton,66.95
Jason Kidd,67.52
Deron Williams,67.74
Rasheed Wallace,67.97
Kyle Lowry,68.29
Devin Booker,68.62
Anthony Edwards,70.00
Bobby Jones,70.97
Peja Stojakovic,72.03
Moses Malone,72.83
Russell Westbrook,72.85
Joe Dumars,75.92
John Stockton,76.30
Andrei Kirilenko,76.80
Marc Gasol,76.97
Larry Nance Sr.,76.97
Marques Johnson,80.55
Victor Oladipo,82.01
Isiah Thomas,82.35
Andre Iguodala,84.18
Kevin Johnson,84.35
Evan Mobley,84.38
Shawn Marion,85.00
Rick Barry,85.08
Mike Conley,86.24
Pau Gasol,87.43
Kyrie Irving,88.23
Gary Payton,91.57
Donovan Mitchell,93.36
Jaylen Brown,95.22
Dave Cowens,96.46
Jaren Jackson Jr.,99.69
George Gervin,100.00
Jrue Holiday,100.05
Alonzo Mourning,100.53
Mitch Richmond,100.76
Jalen Williams,100.76
Chris Bosh,101.62
Mikal Bridges,101.92
Dan Majerle,102.22
Khris Middleton,103.35
James Worthy,106.10
Jalen Brunson,106.50
Al Horford,110.47
Bradley Beal,114.09
Shane Battier,114.36
Michael Cooper,114.70
Bob Lanier,117.16
Derrick Rose,117.93
Bam Adebayo,118.96
Cade Cunningham,120.19
Ron Artest,120.21
Gordon Hayward,121.28
Paul Millsap,121.35
Derrick White,121.64
Pascal Siakam,122.57
Doug Christie,123.05
Jeff Hornacek,123.71
Hersey Hawkins,124.41
Rudy Gobert,124.76
Derek Harper,125.53
Karl-Anthony Towns,126.52
Danny Green,126.56
Lamar Odom,127.13
Lauri Markkanen,129.65
Paul Pressey,129.80
Alex English,129.86
Chet Holmgren,129.93
Tayshaun Prince,130.94
Zion Williamson,131.29
Desmond Bane,134.23
Allen Iverson,134.29
Chris Webber,134.80
Sam Jones,135.49
Lou Hudson,135.64
Kevin Love,138.30
Danny Granger,139.62
Luol Deng,139.93
Darius Garland,140.10
Dennis Rodman,142.23
Gilbert Arenas,143.02
Ja Morant,143.77
Bernard King,145.56
Artis Gilmore,146.15
Blake Griffin,148.93
Michael Finley,149.89
OG Anunoby,149.91
Kevin McHale,151.45
Horace Grant,151.50
Bob Dandridge,152.85
